order_id,customer_id,order_date,category,unit_price,quantity,country,is_returned,revenue
O513386,C107200,2023-01-01,Fashion,56.13,4,United States,False,224.52
O509963,C105317,2023-01-01,Beauty,74.42,1,United Kingdom,False,74.42
O522716,C112150,2023-01-01,Toys,37.38,1,Spain,False,37.38
O507427,C103894,2023-01-01,Home & Kitchen,59.04,1,United Kingdom,False,59.04
O515139,C108086,2023-01-01,Books,54.12,1,Spain,False,54.12
O532970,C117562,2023-01-01,Beauty,62.16,1,United Kingdom,False,62.16
O531415,C116765,2023-01-01,Books,29.6,1,United Kingdom,False,29.6
O522655,C112116,2023-01-01,Sports & Outdoors,393.61,3,United Kingdom,False,1180.83
O532990,C117577,2023-01-01,Home & Kitchen,130.19,1,United Kingdom,False,130.19
O507877,C104156,2023-01-01,Electronics,900.0,1,United Kingdom,False,900.0
O514127,C107591,2023-01-01,Toys,111.48,1,United States,False,111.48
O520994,C111223,2023-01-01,Home & Kitchen,80.23,1,France,False,80.23
O516504,C108822,2023-01-01,Home & Kitchen,128.58,1,Australia,False,128.58
O510567,C105667,2023-01-01,Books,43.85,1,Netherlands,False,43.85
O508790,C104631,2023-01-01,Fashion,90.7,1,United Kingdom,False,90.7
O500562,C100341,2023-01-01,Sports & Outdoors,311.41,1,Spain,True,0.0
O536549,C119478,2023-01-01,Electronics,280.27,2,United Kingdom,False,560.54
O514260,C107645,2023-01-01,Electronics,300.53,5,Germany,True,0.0
O516401,C108773,2023-01-01,Home & Kitchen,180.16,1,United Kingdom,False,180.16
O508771,C104621,2023-01-01,Beauty,25.44,1,United Kingdom,False,25.44
O508901,C104691,2023-01-01,Books,13.38,1,Ireland,True,0.0
O534285,C118251,2023-01-01,Home & Kitchen,188.76,1,United Kingdom,False,188.76
O522149,C111861,2023-01-01,Books,35.13,1,United Kingdom,False,35.13
O504277,C102234,2023-01-01,Fashion,20.7,2,Netherlands,False,41.4
O514740,C107904,2023-01-01,Electronics,575.08,1,Germany,False,575.08
O514764,C107910,2023-01-01,Home & Kitchen,144.55,1,United Kingdom,False,144.55
O521910,C111730,2023-01-01,Fashion,180.0,1,United States,False,180.0
O530421,C116261,2023-01-01,Electronics,624.21,1,United Kingdom,False,624.21
O520617,C111010,2023-01-01,Sports & Outdoors,207.5,5,Ireland,False,1037.5
O519701,C110539,2023-01-01,Home & Kitchen,215.05,1,United Kingdom,False,215.05
O531722,C116913,2023-01-01,Home & Kitchen,64.93,1,United Kingdom,False,64.93
O510519,C105630,2023-01-01,Fashion,80.9,1,France,False,80.9
O500445,C100273,2023-01-01,Books,41.78,1,Germany,False,41.78
O532562,C117316,2023-01-01,Home & Kitchen,250.0,1,United Kingdom,False,250.0
O521407,C111468,2023-01-01,Fashion,115.42,1,United Kingdom,False,115.42
O525593,C113725,2023-01-01,Home & Kitchen,88.19,1,France,False,88.19
O518372,C109808,2023-01-01,Fashion,75.16,5,Germany,False,375.8
O507752,C104084,2023-01-01,Electronics,620.13,1,France,False,620.13
O518570,C109935,2023-01-01,Fashion,105.08,3,Germany,False,315.24
O528501,C115290,2023-01-01,Home & Kitchen,109.85,1,France,False,109.85
O513791,C107413,2023-01-01,Sports & Outdoors,400.0,1,Spain,False,400.0
