date,trips
2022-01-01,6741
2022-01-02,6258
2022-01-03,6425
2022-01-04,5988
2022-01-05,6365
2022-01-06,6790
2022-01-07,7290
2022-01-08,8705
2022-01-09,6922
2022-01-10,7402
2022-01-11,6289
2022-01-12,6458
2022-01-13,6832
2022-01-14,7916
2022-01-15,8429
2022-01-16,7169
2022-01-17,6572
2022-01-18,6213
2022-01-19,6968
2022-01-20,6942
2022-01-21,8300
2022-01-22,9706
2022-01-23,7607
2022-01-24,6337
2022-01-25,6314
2022-01-26,6922
2022-01-27,7798
2022-01-28,8294
2022-01-29,9028
2022-01-30,7891
2022-01-31,6306
2022-02-01,6375
2022-02-02,7147
2022-02-03,7431
2022-02-04,8581
2022-02-05,9599
2022-02-06,6557
2022-02-07,7051
2022-02-08,6263
2022-02-09,6381
2022-02-10,7448
2022-02-11,8996
2022-02-12,9242
2022-02-13,7356
2022-02-14,6838
2022-02-15,6681
2022-02-16,7588
2022-02-17,7763
2022-02-18,8940
2022-02-19,10166
2022-02-20,7840
2022-02-21,6638
2022-02-22,7027
2022-02-23,7438
2022-02-24,7547
2022-02-25,8674
2022-02-26,9933
2022-02-27,7071
2022-02-28,7344
2022-03-01,7136
2022-03-02,6768
2022-03-03,7807
2022-03-04,8767
2022-03-05,10400
2022-03-06,7405
2022-03-07,6913
2022-03-08,7359
2022-03-09,7959
2022-03-10,7086
2022-03-11,9166
2022-03-12,10394
2022-03-13,8157
2022-03-14,7982
2022-03-15,6822
2022-03-16,7815
2022-03-17,7682
2022-03-18,10269
2022-03-19,10426
2022-03-20,8427
2022-03-21,6897
2022-03-22,8026
2022-03-23,8132
2022-03-24,8585
2022-03-25,10347
2022-03-26,10836
2022-03-27,8481
2022-03-28,7390
2022-03-29,7250
2022-03-30,8542
2022-03-31,7822
2022-04-01,9688
2022-04-02,10687
2022-04-03,9035
2022-04-04,8076
2022-04-05,7219
2022-04-06,7445
2022-04-07,8600
2022-04-08,10795
2022-04-09,11488
2022-04-10,9202
2022-04-11,7871
2022-04-12,7959
2022-04-13,8200
2022-04-14,9118
2022-04-15,9952
2022-04-16,11346
2022-04-17,9217
2022-04-18,8362
2022-04-19,8073
2022-04-20,9524
2022-04-21,9580
2022-04-22,11330
2022-04-23,10293
2022-04-24,9264
2022-04-25,8024
2022-04-26,8330
2022-04-27,7606
2022-04-28,9588
2022-04-29,11281
2022-04-30,10884
2022-05-01,9102
2022-05-02,8066
2022-05-03,8255
2022-05-04,8991
2022-05-05,10130
2022-05-06,10757
2022-05-07,12261
2022-05-08,9780
2022-05-09,9268
2022-05-10,8659
2022-05-11,9433
2022-05-12,8808
2022-05-13,10899
2022-05-14,11471
2022-05-15,10565
2022-05-16,8906
2022-05-17,8320
2022-05-18,8730
2022-05-19,9645
2022-05-20,10738
2022-05-21,11527
2022-05-22,10170
2022-05-23,9787
2022-05-24,8431
2022-05-25,8771
2022-05-26,8952
2022-05-27,10485
2022-05-28,12521
2022-05-29,10447
2022-05-30,8794
2022-05-31,8751
2022-06-01,9149
2022-06-02,9651
2022-06-03,10457
2022-06-04,12011
2022-06-05,10149
2022-06-06,8504
2022-06-07,8459
2022-06-08,8779
2022-06-09,9483
2022-06-10,11873
2022-06-11,12109
2022-06-12,10068
2022-06-13,9257
2022-06-14,8988
2022-06-15,9975
2022-06-16,8672
2022-06-17,11922
2022-06-18,12107
2022-06-19,10250
2022-06-20,9297
2022-06-21,9205
2022-06-22,9699
2022-06-23,9782
2022-06-24,12378
2022-06-25,12253
2022-06-26,10125
2022-06-27,9292
2022-06-28,8500
2022-06-29,10223
2022-06-30,10206
2022-07-01,12705
2022-07-02,12411
2022-07-03,9998
2022-07-04,11255
2022-07-05,9054
2022-07-06,8945
2022-07-07,9881
2022-07-08,11429
2022-07-09,13405
2022-07-10,9833
2022-07-11,9373
2022-07-12,8428
2022-07-13,8746
2022-07-14,9322
2022-07-15,10720
2022-07-16,12447
2022-07-17,10651
2022-07-18,8941
2022-07-19,8940
2022-07-20,9890
2022-07-21,9747
2022-07-22,11448
2022-07-23,12119
2022-07-24,9260
2022-07-25,9150
2022-07-26,7858
2022-07-27,9380
2022-07-28,9545
2022-07-29,11892
2022-07-30,12157
2022-07-31,9583
2022-08-01,8903
2022-08-02,8307
2022-08-03,8928
2022-08-04,9491
2022-08-05,11086
2022-08-06,11976
2022-08-07,9492
2022-08-08,8583
2022-08-09,7560
2022-08-10,8851
2022-08-11,8815
2022-08-12,11666
2022-08-13,12725
2022-08-14,8843
2022-08-15,8634
2022-08-16,8319
2022-08-17,8360
2022-08-18,9517
2022-08-19,10668
2022-08-20,10780
2022-08-21,9553
2022-08-22,8406
2022-08-23,8313
2022-08-24,8176
2022-08-25,9435
2022-08-26,11177
2022-08-27,11003
2022-08-28,9241
2022-08-29,8323
2022-08-30,7927
2022-08-31,9343
2022-09-01,9122
2022-09-02,10094
2022-09-03,11055
2022-09-04,9394
2022-09-05,9183
2022-09-06,7969
2022-09-07,8523
2022-09-08,9125
2022-09-09,10454
2022-09-10,12630
2022-09-11,9033
2022-09-12,8415
2022-09-13,7983
2022-09-14,8600
2022-09-15,8244
2022-09-16,11225
2022-09-17,11094
2022-09-18,9151
2022-09-19,7613
2022-09-20,7510
2022-09-21,8441
2022-09-22,9047
2022-09-23,10532
2022-09-24,11649
2022-09-25,9311
2022-09-26,7870
2022-09-27,7991
2022-09-28,8317
2022-09-29,8440
2022-09-30,10349
2022-10-01,11503
2022-10-02,8949
2022-10-03,7595
2022-10-04,7818
2022-10-05,8703
2022-10-06,8259
2022-10-07,9782
